Pearson_corr	P_OXPHOS	OXPHOS_genes	VIP_signed
-0.420152348113635	4.34284511817277e-14	EFR3A	-2.8853592185794
-0.355608256097829	2.98945824744704e-10	RAB6A	-2.39114311366908
-0.380435584469671	1.25291679167467e-11	ITGB1	-2.19593108536001
-0.298443563830214	1.67122913164688e-07	MYH9	-2.11454473564552
-0.339759281606473	1.97152316302811e-09	ARHGEF7	-2.08840988008329
-0.278309493529311	1.14804283918432e-06	SNAP23	-1.79228777468369
-0.268216878427401	2.85333026446273e-06	ZFP36L1	-1.76988701975241
-0.322457028570582	1.37370423296511e-08	RRAGC	-1.74591214616372
-0.255658224987689	8.42298909629167e-06	CDK6	-1.7186144609032
-0.291298155348405	3.3690331215534e-07	TIPARP	-1.69289530132614
-0.247674099951196	1.62913523385446e-05	TRAF2	-1.68472896278614
-0.252565657257546	1.09035177602769e-05	ENO1	-1.63178066261461
-0.24477170059508	2.059449690546e-05	CFLAR	-1.5757758932556
-0.40952808300611	2.12932019796853e-13	ITGA3	-1.57433995245398
-0.250087134434227	1.33774995948652e-05	STAMBP	-1.50657347123697
-0.124603447082032	0.0321093501601356	TXNRD1	-1.45592791098545
-0.298253896629023	1.70304125302492e-07	ATP6V0E1	-1.36850043757928
-0.222991905343019	0.000109240765868967	ATP6AP2	-1.31332602469669
-0.182167306131734	0.00164820333896036	SUGP2	-1.25131063254533
-0.0805600978853224	0.166851478592183	ATRX	-1.22727575854037
-0.170547695568995	0.00324636986179508	RMND5A	-1.2022432818497
-0.203510946574169	0.000425945537185855	KIF18A	-1.2008742710171
-0.209001137598971	0.000293871787047408	NCKAP1	-1.18486256923875
-0.174528212085251	0.0025855032297909	DNAJC9	-1.1837191906658
-0.203974765975001	0.0004129492750826	NSMCE1	-1.14017761707442
-0.107358554022413	0.065097830479282	LEMD3	-1.11563441806556
-0.0749003157441761	0.198796838627828	FOSL2	-1.1108285301492
-0.211288060699264	0.000251061930829641	SPTSSA	-1.09718461389645
-0.117849217453483	0.0427605881488834	BIRC2	-1.08071629691326
-0.178038981246729	0.00210686356506509	RBM10	-1.07327763012091
-0.179229921094816	0.00196384902773235	SPNS1	-1.06402920152414
-0.0788199351774728	0.176235694399858	SFR1	-1.05774777928119
-0.210151462598901	0.000271553257650448	UAP1	-1.05765295231459
-0.279182456621147	1.05927985211707e-06	ALG6	-1.05064736012893
-0.173908110296222	0.00267966745354373	PYROXD1	-1.0502093112122
-0.218690179640068	0.000149092655106574	CHMP3	-1.0148765358549
-0.185779671001077	0.00132390753536651	ATP6AP1	-0.976988883267287
-0.20052157585092	0.000519254266969964	BTF3	-0.974935924754053
-0.235253909011703	4.3538392823592e-05	TMEM165	-0.973227418086455
-0.186739010673681	0.00124823280416037	ARF1	-0.971917048663703
-0.165240780887889	0.00436503203034579	MAX	-0.963619684439896
-0.104660157298903	0.0721828107084814	STARD7	-0.960249629285697
-0.24000372122328	3.00801064829954e-05	MPHOSPH8	-0.947829677783497
-0.254670164943566	9.15035418115409e-06	DYNC1LI2	-0.940900641705561
-0.0848396154089158	0.145368757985197	WDR44	-0.937970829725395
-0.17229012208245	0.00294022589681195	NUP35	-0.90054469513877
-0.182366242642089	0.00162860489197429	WNK1	-0.891843884859905
-0.0949053319889945	0.103189350917924	SYS1	-0.880507593661811
-0.197615896023651	0.000627807563442688	IGLON5	-0.873195527290605
-0.307091108389658	6.9723450834556e-08	CD151	-0.871353301756262
-0.134108426551318	0.0210012980981106	DDX19A	-0.861990250845721
-0.20603099414298	0.000359650095011517	ATP6V1D	-0.852797781183549
-0.201191941410891	0.000496815649553124	SPAG9	-0.822315402465063
-0.16747117143932	0.00385822994698474	TSC1	-0.818615928437693
-0.17808884469538	0.00210069002271782	PAK2	-0.81627520611554
-0.129260073579084	0.0261617712326801	DDX39B	-0.809744497847175
-0.206986350918994	0.00033712978346023	EGR4	-0.809647641441453
-0.10592107833552	0.0687975758729961	RPP40	-0.784814724794742
-0.25149920276662	1.19094416790826e-05	RAPGEFL1	-0.784370962341122
-0.138071933815578	0.0174624674668835	SKA1	-0.779238991535793
-0.17437635923587	0.00260827997590218	KCTD9	-0.769637030947227
-0.157474823070301	0.00663169136287175	TFDP1	-0.763281829230893
-0.131316985063022	0.023852521877127	LST1	-0.759996296925332
-0.221803072463605	0.000119117446988074	NAA40	-0.736071986850848
-0.111586974176417	0.0551509804804132	CTDSPL2	-0.730764334884449
-0.119329171934496	0.0402021073767643	SEPSECS	-0.724624722996727
-0.28218643437285	8.01372459630253e-07	ZNF285	-0.721067091880187
-0.0924030752331872	0.112641389161699	CRYGD	-0.713734306823703
-0.127702827193159	0.0280355869829057	C1orf122	-0.710138648322968
-0.100292365011761	0.0849717896549015	DDA1	-0.704013217881354
-0.204664489360639	0.000394303102920876	RPN1	-0.702954800777102
-0.136616623936348	0.0186962891928219	PLAGL2	-0.6823505625114
-0.114925328766091	0.0482189251918208	MRGPRX3	-0.673794730658899
-0.205727825255302	0.000367084122788674	OTX1	-0.663314108106875
-0.110277004772534	0.058088009621837	LARP4	-0.654986672816503
-0.101588978587801	0.0809980092601188	LEO1	-0.642558992005496
-0.146210822958605	0.0117885797259585	SUGP1	-0.639324252730755
-0.146682414206664	0.0115165244018429	GLUL	-0.630660398206138
-0.196659774279757	0.000667888998691495	REM1	-0.604929732109132
-0.139338334367482	0.0164472149774072	COPRS	-0.590152994072791
-0.219870696277441	0.000136977539505005	FAAH	-0.574959679904307
-0.166491188049257	0.00407396788090972	PROB1	-0.573477616635436
-0.128032553656757	0.027629500909576	RNF41	-0.572837335780143
-0.106076073790048	0.0683905618934129	TEX44	-0.571842968154024
-0.227294731822934	7.95515957813099e-05	SIPA1	-0.570938847876355
-0.19084399925677	0.000967218933754413	CRIP3	-0.570031154375079
-0.146766572635465	0.0114685616587052	FANCI	-0.569343266870906
-0.13932379593383	0.0164585710407955	C2orf49	-0.557570217210697
-0.170155098290034	0.00331921924974004	ELOVL1	-0.555872319852495
-0.0928221897166714	0.111012525792551	SURF4	-0.533407755921405
-0.175666494414307	0.00242044859213788	STUB1	-0.532087828309885
-0.122018219111173	0.0358835397014271	GAB4	-0.517716156496041
-0.164036470094464	0.00466296148668101	TMIGD1	-0.505048719249332
-0.122012300091831	0.0358925951705368	SHISAL2A	-0.500282412487079
-0.252033519600461	1.13949159255707e-05	DNAJB13	-0.4904180075416
-0.20727895135185	0.000330499493322012	TMEM161A	-0.46550848406488
-0.134303132232294	0.0208139373819795	PARP1	-0.4654148147674
-0.12070804987346	0.0379358077449147	H2AC6	-0.460865010420087
-0.113748726438966	0.0505740420769397	GPSM3	-0.460223541155986
-0.0982624667805444	0.0915064107933936	TRAF6	-0.453000846147395
-0.124828442040098	0.0317975106831802	CSPG4	-0.446016719387293
-0.132916104994271	0.0221808372396138	ACOT12	-0.424686671929184
-0.189258945598012	0.00106798320209643	SSR3	-0.420168421603915
-0.17220234815151	0.002954997647276	DBF4B	-0.406733590274695
-0.131854192884634	0.0232791981954821	GPR179	-0.403029741605823
-0.274720817055543	1.59355829287082e-06	GNLY	-0.394537137188125
-0.162812016818075	0.00498453285518925	USB1	-0.378368863679047
0.0952321165074881	0.102002694447472	CAMKK2	0.30326179985818
0.095699627564327	0.100323834555998	ATXN2L	0.305416780575044
0.105644691093665	0.0695282744022597	FAM98C	0.313219576329924
0.137649504195342	0.0178130722069259	B4GALNT2	0.349409963705135
0.187768847160968	0.00117143509850392	TPSAB1	0.361355571767899
0.152732362701447	0.00848718049433965	H2AC20	0.374931088030839
0.126454284369864	0.0296199852269829	MIEF1	0.393641367242381
0.083530732232065	0.15170279573444	LHX5	0.413575672121896
0.101926007363164	0.0799900648874097	DYNLT4	0.452681067087444
0.155861471945169	0.00721759335822417	PRRC2C	0.464214588344475
0.112773149053716	0.05259878860093	DDIT3	0.480095145202082
0.147835727414653	0.0108744172065109	SSH2	0.481952056296207
0.168825169384302	0.00357713869526017	SIRT7	0.48326304512959
0.148424671549793	0.0105588979835667	C1orf43	0.490556940526509
0.0804163678224995	0.167612124866269	PTP4A1	0.495238937337223
0.117748479536461	0.0429396092322266	GLI1	0.497399372260409
0.171039524317742	0.00315715358233409	PCGF1	0.524792869912861
0.119623906649539	0.0397083168485993	CR1L	0.528776850989153
0.0802727152613075	0.168374947183302	MTCH2	0.534156367844585
0.117461142074829	0.0434537021190861	DAZAP1	0.538400734190188
0.201369784587584	0.000491015672123278	TBRG4	0.549616715783736
0.117696525822142	0.0430321821285975	FBXW9	0.559448407849929
0.113332672587583	0.0514294462242174	TXN	0.575922998855176
0.0880405959809295	0.130728695210306	GIGYF1	0.599541672721088
0.131359107949184	0.0238071309827319	NUP188	0.605101642789187
0.113265344616941	0.0515689983352316	HEATR6	0.617893858400852
0.10371085209948	0.0748199881850963	AATK	0.621276997653739
0.146336162108858	0.011715725305738	CELF1	0.631141470330432
0.171124207483169	0.00314201864108226	CYP27B1	0.645996231922196
0.163130026404862	0.00489915230513207	RBBP8	0.64617151385076
0.158099433796062	0.00641653521170256	SOWAHC	0.671935691419684
0.196221939003301	0.000687022409371271	CCNF	0.674702491409034
0.10279787036021	0.0774295957027435	KMT2B	0.679942896444337
0.092493442241708	0.112288607509689	DNAJA1	0.680316282426897
0.14229549742351	0.0142750494708173	UBALD2	0.686733008827435
0.177239292557521	0.00220816038298454	RNF20	0.698696799417822
0.0588045040083293	0.313309031125226	PPP6R3	0.715153609698006
0.170144117288744	0.00332127798661683	ATP5PD	0.721253523993253
0.125297152668035	0.0311561741304842	EIF4H	0.737299905478906
0.100783806518648	0.083447576603951	MCMBP	0.739868891356446
0.213957346914448	0.000208473216258571	CRTC3	0.739887921011131
0.134790562458425	0.0203512388736195	CSNK2B	0.744386283961101
0.194402420603249	0.000772091669428396	SUPT20H	0.744889172140749
0.165436796707874	0.00431819899033161	SOX2	0.746002154894571
0.225129749981153	9.33858603908774e-05	MICOS13	0.760865885722449
0.0319732286825542	0.583760019925402	BCAR3	0.765144616584715
0.172418588780609	0.00291872668020562	SRFBP1	0.771107370055104
0.0671865709161851	0.249184246483781	SMG7	0.78328214343497
0.157177888058707	0.00673622017662862	YME1L1	0.799071228070527
0.261801501681163	4.99463108095168e-06	EIF3M	0.811612796215605
0.0664713985786696	0.254269807710111	PPP6C	0.84850464761656
0.158144827751255	0.00640114492194729	THEM5	0.854802120621141
0.122305535678354	0.0354463005915521	ZSWIM8	0.865781473503458
0.142512444255571	0.0141260931385667	ATXN7L3	0.867468013757931
0.11738044504735	0.0435990090414773	FOXK1	0.884976628216003
0.0933619800147825	0.108941986887006	EWSR1	0.898597193466564
0.176322475733864	0.002329745058122	BMPR1A	0.910980126526451
0.171756869098748	0.00303101258965897	DLST	0.914250799598553
0.201168930525596	0.000497570726894238	KPNA2	0.91457290592922
0.187313591269244	0.00120483269260744	PGP	0.916897982971788
0.226428465292053	8.48381049826007e-05	ACD	0.926533576439648
0.196948644185377	0.000655536543896885	TIMM44	0.928870888196288
0.116228015398114	0.0457190718984872	DNAAF5	0.944164015090452
0.149445336226092	0.0100312374692514	TEDC2	0.969858326941812
0.170147821478996	0.00332058338941696	MAPK1	0.988312144720007
0.039900977301314	0.494069817833488	TRNAU1AP	1.00579379969007
0.213211288317086	0.000219641506412432	SRRD	1.01917754351901
0.165452240173898	0.0043145284957919	PDCD6IP	1.02178795040099
0.180041037472683	0.00187158246803625	BPTF	1.03707579562936
0.0937745706115846	0.10737995041937	MIX23	1.04367266215449
0.176398109974096	0.00231948859896097	SLC39A10	1.06525865140169
0.204847856313099	0.000389479296942487	MRM2	1.11178514801739
0.185063682203904	0.00138310607306789	TAFAZZIN	1.11281524898801
0.174955766826979	0.00252234187665423	COASY	1.12378243272309
0.0850411475361278	0.14441165746487	SNRNP48	1.15273302539161
0.0897467599989412	0.123404703540782	LEMD2	1.15739784053972
0.161220134542372	0.0054323815939801	TFRC	1.15958809676917
0.17871985883537	0.00202397818618571	ATIC	1.16801325021772
0.21180910253835	0.000242158883511775	TAF5L	1.23965573823138
0.193471214008777	0.000819298235018055	DSCC1	1.2521548634837
0.0522184824761227	0.370674657192956	GNB1L	1.31191835801025
0.222871531981354	0.000110204681675379	DNM1L	1.33697173909302
0.193475730144192	0.000819063001234978	COX7C	1.35586427498486
0.203536223012616	0.000425227612172979	COQ4	1.36252618712744
0.242393363309851	2.49022106578404e-05	MRPL58	1.39639189592749
0.202830181490713	0.000445710039103809	NDUFC2	1.44517211813437
0.215537087848043	0.000186553333688105	NDUFS1	1.46800914214711
0.274729956146289	1.59223749100877e-06	EP300	1.49376032588789
0.256715507142522	7.70569201603582e-06	MICOS10	1.5903677110084
0.258592233878218	6.57328329742116e-06	NDUFB8	1.62051533570031
0.215832937925398	0.00018269577389912	SDHB	1.67202524065625
0.289824803712627	3.88380995292616e-07	FERMT2	1.95672000531343
0.297918904231552	1.76065639658325e-07	ITGAV	1.97329493568939
